# x_m,y_m,w_tr_right_m,w_tr_left_m
-6.963968, -2.307327, 2.200000, 2.200000
-8.753378, -2.937554, 2.200000, 2.200000
-10.006025, -4.496975, 2.200000, 2.200000
-11.272011, -6.052457, 2.200000, 2.200000
-12.524524, -7.747018, 2.200000, 2.200000
-13.483064, -9.585186, 2.200000, 2.200000
-13.663636, -11.164740, 2.200000, 2.200000
-13.497816, -12.760203, 2.200000, 2.200000
-12.937357, -14.478153, 2.200000, 2.200000
-11.925183, -16.127975, 2.200000, 2.200000
-11.038748, -17.706221, 2.200000, 2.200000
-9.961277, -19.204688, 2.200000, 2.200000
-8.757927, -20.613264, 2.200000, 2.200000
-7.386240, -21.929630, 2.200000, 2.200000
-5.734666, -23.076085, 2.200000, 2.200000
-3.916068, -24.082271, 2.200000, 2.200000
-1.960639, -24.947180, 2.200000, 2.200000
0.174297, -25.524889, 2.200000, 2.200000
2.419492, -25.902573, 2.200000, 2.200000
4.675528, -26.225427, 2.200000, 2.200000
6.938288, -26.181409, 2.200000, 2.200000
9.201114, -26.037644, 2.200000, 2.200000
11.478845, -26.074433, 2.200000, 2.200000
13.750306, -26.037859, 2.200000, 2.200000
16.004313, -25.789082, 2.200000, 2.200000
18.267710, -25.654246, 2.200000, 2.200000
20.537810, -25.600200, 2.200000, 2.200000
22.800757, -25.456952, 2.200000, 2.200000
25.047603, -25.121825, 2.200000, 2.200000
27.311575, -24.992431, 2.200000, 2.200000
29.573570, -24.863688, 2.200000, 2.200000
31.822807, -24.850976, 2.200000, 2.200000
34.093667, -25.024867, 2.200000, 2.200000
36.353740, -25.246730, 2.200000, 2.200000
38.623671, -25.224414, 2.200000, 2.200000
40.892574, -25.015670, 2.200000, 2.200000
43.153657, -24.945633, 2.200000, 2.200000
45.410146, -25.142864, 2.200000, 2.200000
47.683109, -25.210513, 2.200000, 2.200000
49.920445, -25.611498, 2.200000, 2.200000
52.169570, -25.845110, 2.200000, 2.200000
54.410411, -25.921103, 2.200000, 2.200000
56.656085, -25.948243, 2.200000, 2.200000
58.903605, -25.806048, 2.200000, 2.200000
61.176630, -25.789537, 2.200000, 2.200000
63.443630, -25.588971, 2.200000, 2.200000
65.632360, -25.077866, 2.200000, 2.200000
67.749716, -24.304176, 2.200000, 2.200000
69.812512, -23.355174, 2.200000, 2.200000
71.814249, -22.307615, 2.200000, 2.200000
73.576001, -21.007556, 2.200000, 2.200000
75.187654, -19.498215, 2.200000, 2.200000
76.585446, -17.853380, 2.200000, 2.200000
77.535993, -15.939941, 2.200000, 2.200000
78.375847, -13.926521, 2.200000, 2.200000
79.394890, -12.062212, 2.200000, 2.200000
79.723658, -10.337674, 2.200000, 2.200000
79.914891, -8.795379, 2.200000, 2.200000
79.852049, -7.313904, 2.200000, 2.200000
79.546105, -5.958476, 2.200000, 2.200000
79.214580, -4.759553, 2.200000, 2.200000
78.610508, -3.556917, 2.200000, 2.200000
77.429270, -2.245524, 2.200000, 2.200000
75.802258, -0.879372, 2.200000, 2.200000
73.861842, 0.400140, 2.200000, 2.200000
71.735702, 1.426953, 2.200000, 2.200000
69.546535, 2.047036, 2.200000, 2.200000
48.304340, 2.536767, 2.200000, 2.200000
46.040789, 2.098446, 2.200000, 2.200000
43.741374, 2.296727, 2.200000, 2.200000
41.471754, 2.217815, 2.200000, 2.200000
39.216929, 2.018181, 2.200000, 2.200000
36.971318, 1.727930, 2.200000, 2.200000
34.724470, 1.437217, 2.200000, 2.200000
32.440298, 1.520938, 2.200000, 2.200000
30.199095, 1.228863, 2.200000, 2.200000
27.944994, 0.905967, 2.200000, 2.200000
25.795125, 0.331636, 2.200000, 2.200000
23.534554, 0.282444, 2.200000, 2.200000
21.286822, 0.019417, 2.200000, 2.200000
19.013684, 0.004156, 2.200000, 2.200000
16.737995, 0.015206, 2.200000, 2.200000
14.458598, 0.063832, 2.200000, 2.200000
12.208886, -0.187382, 2.200000, 2.200000
9.944622, -0.291846, 2.200000, 2.200000
7.728227, -0.875522, 2.200000, 2.200000
5.541208, -1.721413, 2.200000, 2.200000
